word,count
無人機,107
機器人,75
電動車,58
DRAM,38
太陽能,25
軍工,22
人形機器人,22
AI晶片,21
生技,21
資料中心,18
電網,17
先進封裝,15
IC載板,15
面板,15
AI伺服器,14
散熱,14
晶圓代工,12
星鏈,12
新藥,12
光通訊,11
被動元件,11
離岸風電,10
玻璃基板,9
ASIC,9
低軌道衛星,9
交換器,9
PCB,9
5G,8
生成式AI,7
HBM,7
機械手臂,7
疫苗,6
充電樁,5
IC設計,5
CoWoS,4
自動駕駛,4
綠電,4
再生能源,4
高股息ETF,4
矽光子,3
固態電池,3
6G,3
InFO,2
ABF載板,2
智慧眼鏡,2
記憶體模組,2
固態硬碟,2
DDR5,2
儲存晶片,2
光伏,2
精準醫療,2
AIPC,1
大型語言模型,1
NAND Flash,1
CXL,1
國防產業,1
國艦國造,1
防禦系統,1
太空產業,1
火箭發射,1
風力發電,1
CDMO,1
量子電腦,1
重電,1
